Middle income,MIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10909.86247,11438.8006,
"Macedonia, FYR",MKD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13766.31883,14731.35963,15231.3326
Mali,MLI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2043.718105,2125.716027,2211.415206
Malta,MLT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35787.87696,37363.32933,39534.92022
Myanmar,MMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5384.869389,5721.228004,6138.761026
Middle East & North Africa (excluding high income),MNA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12302.29818,13092.15361,
Montenegro,MNE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16272.19565,17633.14636,18765.1058
Mongolia,MNG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12152.17138,12252.2772,12999.5288
Northern Mariana Islands,MNP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Mozambique,MOZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1190.755747,1215.78764,1247.275563
Mauritania,MRT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3835.230926,3852.525734,3949.677854
Mauritius,MUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20087.71538,21102.55892,22278.48548
Malawi,MWI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1159.319842,1168.825626,1202.197126
Malaysia,MYS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26623.32837,27682.60794,29431.46945
North America,NAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,55259.59286,56301.36036,
Namibia,NAM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10622.15643,10596.41738,10475.51927
New Caledonia,NCL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Niger,NER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,967.0846194,989.0897439,1016.613626
Nigeria,NGA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6038.462315,5861.089656,5860.84706
Nicaragua,NIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5278.44924,5533.07424,5842.171881
Netherlands,NLD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,49527.66966,50538.60657,52941.12298
Norway,NOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,61722.23991,58808.39076,60978.2775
Nepal,NPL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2464.389033,2477.903345,2681.843838
Nauru,NRU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13066.20362,13966.49778,14157.53321
New Zealand,NZL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,37864.99954,39465.11531,40916.93566
OECD members,OED,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,40946.37388,41944.02368,
Oman,OMN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,42459.75058,43012.8492,41675.34375
Other small states,OSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24980.14714,25290.59005,
Pakistan,PAK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5000.283839,5238.213529,5527.377674
Panama,PAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22134.9748,23157.2224,24445.97147
Peru,PER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12533.49118,13030.0139,13434.1256
Philippines,PHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7320.498539,7800.65101,8342.804479
