Americas,Caribbean,Cuba,WPB-ICPR,55000.00,,,60000.00,,,,,,57337.00,,,,,,489.11,,,531.15,,,,,,503.75,,,,
Americas,Caribbean,Curaçao,WPB-ICPR,,,,578.00,,,,541.00,,440.00,,348.00,,,,,,,438.22,,,,366.51,,287.61,,222.35,,
Asia,Western Asia,Cyprus,UN-CTS,359.00,454.00,502.00,578.00,547.00,652.00,578.00,636.00,622.00,678.00,553.00,532.00,547.00,,,36.13,44.93,48.85,55.28,51.42,60.28,52.64,57.16,55.30,59.73,48.34,46.17,47.12,
Europe,Eastern Europe,Czechia,UN-CTS/WPB-ICPR,17360.00,18343.00,18937.00,18578.00,18901.00,20502.00,21853.00,21900.00,23170.00,22644.00,16645.00,18658.00,20866.00,22481.00,,169.54,179.14,184.60,180.40,182.50,196.68,208.38,207.85,219.23,213.89,157.11,176.04,196.78,211.89
Africa,Middle Africa,Democratic Republic of the Congo,WPB-ICPR,,30000.00,,,,,,22000.00,,,,,20550.00,,,,56.57,,,,,,34.10,,,,,26.97,
Europe,Northern Europe,Denmark,UN-CTS,3641.00,3767.00,4041.00,3932.00,3624.00,3451.00,3721.00,3944.00,3947.00,3829.00,4091.00,3583.00,3203.00,3408.00,,67.59,69.72,74.53,72.22,66.25,62.77,67.33,71.00,70.70,68.25,72.56,63.26,56.30,59.68
Africa,Eastern Africa,Djibouti,WPB-ICPR,,,,,,,525.00,,750.00,,550.00,,600.00,600.00,,,,,,,,62.74,,86.61,,61.34,,64.70,63.70
Americas,Caribbean,Dominica,WPB-ICPR,243.00,290.00,282.00,301.00,254.00,235.00,,295.00,,275.00,266.00,,219.00,,,346.68,412.05,399.28,425.10,358.00,330.64,,412.93,,381.71,367.40,,299.34,
Americas,Caribbean,Dominican Republic,UN-CTS/WPB-ICPR,16789.00,13008.00,12657.00,13752.00,,16718.00,,20743.00,21875.00,24044.00,24744.00,25203.00,,16750.00,,187.22,142.90,137.02,146.75,,173.49,,209.57,218.16,236.77,240.67,242.20,,157.36
Americas,South America,Ecuador,UN-CTS/WPB-ICPR,9866.00,11358.00,11971.00,12635.00,,12067.00,,11800.00,,21305.00,25494.00,24036.00,,34665.00,,74.24,84.07,87.16,90.46,,83.52,,79.01,,138.17,162.78,151.14,,211.60
Africa,Northern Africa,Egypt,WPB-ICPR,,,,64378.00,,,,,66000.00,,,,,106000.00,,,,,82.37,,,,,76.84,,,,,110.87
Americas,Central America,El Salvador,UN-CTS/WPB-ICPR,,12073.00,12525.00,14771.00,17867.00,19814.00,22101.00,24662.00,25367.00,28383.00,26848.00,28334.00,32645.00,,,,201.19,207.75,243.89,293.70,324.27,360.11,400.06,409.64,456.23,429.51,451.09,517.15,
Africa,Middle Africa,Equatorial Guinea,WPB-ICPR,,,,,,,,,,,,,500.00,,,,,,,,,,,,,,,42.54,
Europe,Northern Europe,Estonia,UN-CTS,4576.00,4565.00,4410.00,4310.00,3456.00,3656.00,3555.00,3393.00,3400.00,3286.00,3112.00,3034.00,2823.00,,,333.31,334.78,325.31,319.43,257.13,272.89,266.13,254.71,255.94,248.01,235.48,230.13,214.62,
Africa,Eastern Africa,Ethiopia,WPB-ICPR,,74413.00,,72211.00,,85664.00,,104467.00,,111050.00,,113727.00,,,,,99.72,,91.58,,102.98,,119.11,,120.13,,116.80,,
Europe,Northern Europe,Faroe Islands,UN-CTS/WPB-ICPR,13.00,,10.00,12.00,,12.00,9.00,8.00,8.00,8.00,10.00,11.00,10.00,8.00,,27.10,,20.71,24.80,,24.75,18.55,16.48,16.46,16.44,20.51,22.52,20.42,16.28
